Employee Id,Employee Name,Corporate Id,Email Id,Employee Status
559456,Amery Cooke,42441372299,tincidunt.neque@mollis.com,Terminated
485863,Britanni Rush,70393858699,diam.vel@eratVivamusnisi.com,Active
902474,Hayley Haney,98685811099,nibh@Nunccommodo.edu,Inactive
991376,Elijah Russo,69456097799,non@ullamcorpermagna.edu,Inactive
711309,Cedric Bowers,44204326499,lorem.ut@commodoipsum.edu,Terminated
329022,Cody Petersen,27366323899,eget@sem.edu,Active
376488,Jessamine Rivas,02498097099,ac.feugiat@idnuncinterdum.co.uk,Inactive
655986,Uriel Rich,03237656599,enim@Aliquam.com,Terminated
640903,Colton Lawson,44462239799,Cras@elitfermentumrisus.net,Inactive
438036,Frances Green,20594681499,fringilla@turpis.com,Active
673023,Meredith Raymond,31296098999,vehicula@aliquamerosturpis.net,Active
823227,Hannah Hawkins,46916187899,malesuada.fames.ac@molestietortornibh.net,Terminated
603462,Illiana William,87903981399,Nullam.ut.nisi@erateget.ca,Terminated
457159,Minerva Miller,61801582999,dolor.quam@sit.org,Active
366256,Risa Freeman,28575594499,iaculis@cursusNunc.org,Active
913796,Sierra Rivers,56636799699,dolor@semperegestas.edu,Active
197184,Yoshio Norris,58467138299,vulputate.risus.a@liberoDonec.net,Active
448469,Brody Chavez,57656113399,Donec@ut.edu,Active
741796,Jennifer Dyer,11995912799,eu@accumsanlaoreetipsum.com,Active
